Sample,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC
434,724,787,835,1000,999,999,1000,1000,557,587,774,996,780,788,937,994
435,0,815,0,816,1000,1000,1000,1000,568,616,806,935,775,781,937,1000
436,0,825,0,1000,1000,1000,1000,1000,606,681,734,977,674,676,960,990
437,0,698,0,993,1000,1000,1000,1000,509,605,625,940,431,568,630,775
438,0,897,0,963,998,998,1000,1000,329,622,715,497,578,593,793,991
439,851,854,990,1000,999,999,1000,1000,414,646,446,993,516,520,804,992
440,718,777,834,1000,1000,1000,1000,1000,422,550,772,719,835,835,993,1000
441,0,886,0,1000,1000,1000,1000,1000,519,568,713,914,796,804,949,999
442,527,529,934,1000,1000,1000,1000,1000,378,693,441,670,789,792,961,1000
443,44,640,44,1000,999,999,1000,1000,552,666,686,880,784,809,879,1000
444,0,690,0,1000,998,998,1000,1000,271,630,739,416,835,837,976,1000
445,813,815,989,1000,1000,1000,1000,1000,419,567,713,704,712,771,803,1000
446,550,576,777,1000,1000,1000,1000,1000,452,693,480,988,865,877,973,986
447,77,893,77,1000,1000,1000,1000,1000,379,634,653,587,384,639,388,954
448,0,688,0,980,1000,1000,1000,1000,466,505,693,998,476,722,483,990
449,846,848,990,1000,997,997,1000,1000,302,588,758,446,535,546,746,994
450,549,579,776,1000,999,999,1000,1000,489,683,542,905,495,748,502,1000
451,601,645,761,1000,999,999,1000,1000,510,576,671,961,496,517,708,963
452,44,635,44,1000,1000,1000,1000,1000,377,641,399,989,653,659,896,999
453,764,787,909,1000,999,999,1000,1000,272,612,782,456,503,503,835,1000
454,496,814,511,1000,1000,1000,1000,1000,543,613,695,994,477,566,544,975
455,530,535,898,1000,999,999,1000,1000,503,578,625,993,849,884,913,987
456,598,644,759,1000,1000,1000,1000,1000,579,662,700,990,813,815,975,1000
457,492,810,508,1000,1000,1000,1000,1000,284,694,486,456,581,804,590,1000
458,564,564,964,1000,999,999,1000,1000,582,655,748,943,590,595,854,1000
459,596,640,759,1000,999,999,1000,1000,537,620,672,973,783,877,909,900
460,736,737,979,1000,998,998,1000,1000,531,629,647,984,805,807,968,995
461,527,529,938,1000,1000,1000,1000,1000,443,557,671,771,552,598,801,911
462,762,780,911,1000,999,999,1000,1000,514,573,672,940,428,700,455,868
463,719,805,836,951,1000,1000,1000,1000,555,620,751,910,544,587,677,999
464,45,680,45,1000,1000,1000,1000,1000,545,670,732,865,763,774,955,985
465,43,633,43,1000,1000,1000,1000,1000,395,632,439,825,605,771,956,773
466,837,855,938,1000,999,999,1000,1000,524,564,758,923,514,595,601,1000
467,819,867,938,953,999,999,1000,1000,405,638,442,994,612,631,819,1000
468,0,829,0,993,1000,1000,1000,1000,450,652,592,778,599,646,736,989
469,821,859,897,1000,999,999,1000,1000,388,706,487,661,694,875,703,998
470,525,527,936,999,1000,1000,1000,1000,434,621,595,702,494,498,753,996
471,818,820,989,1000,999,999,1000,1000,326,612,803,533,590,594,906,1000
472,546,576,771,1000,1000,1000,1000,1000,381,539,738,662,859,875,946,1000
473,598,640,762,1000,1000,1000,1000,1000,541,617,772,893,723,892,732,1000
474,573,874,582,1000,999,999,1000,1000,326,642,613,504,861,866,969,1000
475,600,622,833,995,1000,1000,1000,1000,406,610,817,657,861,865,973,1000
476,750,770,910,1000,999,999,1000,1000,398,674,493,668,598,638,738,992
477,570,880,580,987,997,997,1000,1000,413,687,446,831,882,895,954,998
478,595,640,758,1000,1000,1000,1000,1000,539,589,728,953,812,812,993,1000
479,0,665,0,1000,999,999,1000,1000,500,605,594,991,638,713,745,977
480,45,622,45,1000,998,998,1000,1000,379,583,757,612,864,898,917,998
481,0,653,0,998,999,999,1000,1000,548,654,706,853,747,767,926,971
482,540,545,900,1000,999,999,1000,1000,228,622,772,377,670,736,766,993
483,0,655,0,1000,999,999,1000,1000,436,673,493,784,694,707,874,1000
484,368,611,395,1000,998,998,1000,1000,480,576,671,830,635,635,944,994
485,841,857,938,1000,1000,1000,1000,1000,498,707,537,995,855,888,912,1000
486,607,628,835,1000,999,999,1000,1000,501,550,708,917,852,857,968,999
487,761,764,967,1000,999,999,1000,1000,291,591,760,451,749,821,847,938
488,491,810,507,1000,1000,1000,1000,1000,558,627,751,916,576,603,806,951
489,43,682,43,990,1000,1000,1000,1000,523,587,692,965,550,551,875,999
490,734,794,844,1000,1000,1000,1000,1000,500,630,708,790,407,659,417,1000
491,591,594,937,1000,999,999,1000,1000,381,564,758,632,774,782,935,1000
492,396,654,419,989,998,998,1000,1000,284,573,672,451,786,789,962,999
493,78,900,78,1000,1000,1000,1000,1000,339,655,398,660,505,584,585,970
494,0,697,0,1000,999,999,1000,1000,506,617,752,816,576,588,826,998
495,0,710,0,1000,999,999,1000,1000,394,675,413,989,635,690,912,907
496,597,601,940,1000,997,997,1000,1000,575,670,687,972,448,449,798,1000
497,840,845,980,998,1000,1000,1000,1000,335,665,688,493,616,633,819,1000
498,0,888,0,1000,999,999,1000,1000,361,685,416,700,681,891,732,885
499,809,847,892,1000,1000,1000,1000,1000,522,552,740,979,763,790,863,1000
500,580,891,585,994,998,998,1000,1000,578,636,741,984,482,563,545,995
501,757,781,903,1000,998,998,1000,1000,565,593,798,969,759,759,974,1000
502,611,630,842,1000,999,999,1000,1000,522,639,613,995,585,814,594,985
503,0,668,0,1000,999,999,1000,1000,382,625,444,760,770,774,955,1000
504,525,529,934,998,999,999,1000,1000,509,569,671,980,857,863,970,1000
505,364,604,397,1000,999,999,1000,1000,485,598,820,780,722,734,900,1000
506,44,632,44,998,999,999,1000,1000,585,624,771,995,826,848,915,1000
507,835,857,938,985,999,999,1000,1000,502,651,649,809,615,661,756,1000
508,0,646,0,1000,1000,1000,1000,1000,391,624,672,610,447,513,565,932
509,553,582,774,995,998,998,1000,1000,547,579,773,966,758,763,952,1000
510,533,587,706,999,1000,1000,1000,1000,422,623,463,998,809,830,909,1000
511,55,813,55,1000,1000,1000,1000,1000,544,605,841,891,767,767,978,1000
512,765,786,907,1000,998,998,1000,1000,509,611,623,913,846,880,908,1000
513,43,680,43,1000,1000,1000,1000,1000,532,647,670,862,827,850,915,999
514,841,843,988,1000,999,999,1000,1000,478,605,759,761,691,691,962,1000
515,44,679,44,1000,999,999,1000,1000,540,611,695,961,568,648,664,1000
516,829,834,978,1000,1000,1000,1000,1000,524,658,674,830,683,694,871,1000
517,558,587,777,1000,1000,1000,1000,1000,302,587,780,479,448,451,792,972
518,0,695,0,1000,999,999,1000,1000,514,605,624,951,786,835,855,1000
519,55,804,55,954,1000,1000,1000,1000,537,612,749,868,846,851,987,990
520,393,660,416,1000,999,999,1000,1000,500,578,622,999,612,617,881,1000
521,568,569,971,997,999,999,1000,1000,295,566,713,476,294,568,311,820
522,395,651,418,1000,999,999,1000,1000,462,606,709,721,678,686,912,989
523,542,598,707,1000,999,999,1000,1000,522,606,785,839,392,514,576,758
524,831,836,987,997,999,999,1000,1000,428,699,445,944,766,910,775,1000
525,0,656,0,999,998,998,1000,1000,469,697,610,770,785,788,964,1000
526,0,826,0,920,1000,1000,1000,1000,536,708,614,897,469,469,810,1000
527,745,746,980,1000,999,999,1000,1000,519,624,614,995,838,875,891,1000
528,0,648,0,1000,1000,1000,1000,1000,402,686,591,638,455,456,801,1000
529,0,818,0,1000,999,999,1000,1000,562,608,831,926,852,856,981,1000
530,604,626,841,1000,1000,1000,1000,1000,420,685,441,985,654,666,849,1000
531,574,881,583,980,999,999,1000,1000,395,669,414,997,707,708,947,1000
532,44,680,44,1000,998,998,1000,1000,495,703,534,992,691,692,966,1000
533,609,630,837,1000,1000,1000,1000,1000,503,620,592,987,774,780,956,1000
534,536,542,899,1000,1000,1000,1000,1000,262,672,733,413,769,796,870,1000
535,559,882,581,874,1000,1000,1000,1000,74,677,732,143,746,749,948,1000
536,726,727,979,1000,1000,1000,1000,1000,454,650,492,958,843,850,966,1000
537,43,679,43,1000,1000,1000,1000,1000,210,654,731,308,550,551,875,1000
538,768,790,910,993,1000,1000,1000,1000,105,703,613,172,668,705,801,1000
539,736,741,962,1000,999,999,1000,1000,523,589,805,862,815,817,977,1000
540,44,634,44,1000,999,999,1000,1000,236,686,541,349,356,608,357,999
541,535,541,898,1000,998,998,1000,1000,396,670,415,998,806,831,905,1000
542,718,793,840,951,1000,1000,1000,1000,516,605,626,981,656,849,670,998
543,573,881,582,990,1000,1000,1000,1000,138,618,844,234,602,618,812,1000
544,751,753,983,1000,1000,1000,1000,1000,486,679,716,734,498,504,748,1000
545,55,818,55,1000,1000,1000,1000,1000,372,682,538,581,636,642,897,1000
546,366,608,396,1000,1000,1000,1000,1000,319,587,774,495,515,526,781,970
547,579,890,587,1000,999,999,1000,1000,568,673,736,880,613,686,715,997
548,531,532,940,1000,998,998,1000,1000,344,610,714,537,369,621,371,999
549,543,549,900,1000,999,999,1000,1000,449,541,739,785,480,483,773,996
550,738,801,840,1000,999,999,1000,1000,477,639,649,767,593,631,729,992
551,55,815,55,1000,1000,1000,1000,1000,488,683,537,993,591,598,838,1000
552,45,626,45,1000,999,999,1000,1000,407,633,442,993,452,727,487,841
553,763,787,906,985,1000,1000,1000,1000,344,564,711,555,790,834,863,999
554,843,869,938,993,999,999,1000,1000,397,682,415,995,578,626,716,997
555,540,546,899,1000,1000,1000,1000,1000,394,660,413,945,566,572,834,999
556,738,857,936,866,1000,1000,1000,1000,540,642,738,871,759,786,866,1000
557,589,592,940,1000,1000,1000,1000,1000,367,642,701,525,504,525,852,925
558,536,543,898,1000,999,999,1000,1000,356,575,624,588,672,673,927,1000
559,0,710,0,1000,999,999,1000,1000,330,701,592,518,678,681,959,984
560,0,817,0,999,999,999,1000,1000,407,685,444,826,585,588,906,984
561,606,638,842,961,1000,1000,1000,1000,524,641,750,817,487,730,494,1000
562,366,610,396,1000,999,999,1000,1000,514,559,711,973,513,513,843,1000
563,781,863,938,917,999,999,1000,1000,486,692,612,785,604,681,703,1000
564,44,683,44,1000,999,999,1000,1000,549,574,772,995,614,615,926,996
565,534,534,942,1000,999,999,1000,1000,409,580,625,695,310,567,313,996
566,392,661,413,1000,999,999,1000,1000,529,630,685,880,623,631,870,990
567,582,583,935,1000,1000,1000,1000,1000,113,588,767,210,843,846,977,1000
568,541,547,901,1000,1000,1000,1000,1000,596,654,743,991,629,842,641,998
569,711,775,834,1000,1000,1000,1000,1000,377,645,397,950,656,656,954,1000
570,0,689,0,999,999,999,1000,1000,488,660,749,746,844,880,904,987
571,490,799,508,1000,999,999,1000,1000,375,641,397,987,661,664,922,1000
572,591,637,757,988,999,999,1000,1000,196,577,803,332,707,708,968,1000
573,738,740,969,1000,998,998,1000,1000,569,598,835,957,578,802,586,1000
574,369,609,396,979,1000,1000,1000,1000,155,700,588,243,744,755,913,999
575,488,798,504,1000,999,999,1000,1000,496,702,538,996,727,729,953,998
576,843,845,990,1000,1000,1000,1000,1000,401,687,615,628,638,709,743,1000
577,597,641,759,996,1000,1000,1000,1000,354,707,550,578,793,794,973,1000
578,44,680,44,1000,1000,1000,1000,1000,547,591,733,964,681,743,787,1000
579,591,593,938,1000,998,998,1000,1000,493,615,592,903,756,763,921,1000
580,493,807,508,993,997,997,1000,1000,454,675,492,843,578,677,959,833
581,756,757,972,1000,1000,1000,1000,1000,309,592,844,484,398,653,406,1000
582,522,524,936,1000,1000,1000,1000,1000,486,674,540,921,760,816,826,1000
583,471,525,664,1000,1000,1000,1000,1000,372,626,396,994,750,753,950,999
584,45,624,45,1000,999,999,1000,1000,599,660,742,991,506,512,758,1000
585,735,737,980,1000,1000,1000,1000,1000,433,543,712,731,738,749,909,1000
586,587,631,759,1000,999,999,1000,1000,215,583,803,336,799,824,891,1000
587,605,627,842,1000,999,999,1000,1000,428,637,646,687,497,514,702,997
588,527,529,936,1000,998,998,1000,1000,454,647,649,716,583,808,594,999
589,535,541,899,1000,1000,1000,1000,1000,437,654,649,683,655,663,893,1000
590,821,823,990,1000,1000,1000,1000,1000,549,580,806,939,481,726,489,1000
591,492,812,505,1000,999,999,1000,1000,437,605,626,699,532,611,623,991
592,857,877,939,1000,1000,1000,1000,1000,489,682,534,982,502,504,787,999
593,43,633,43,979,1000,1000,1000,1000,505,687,587,869,842,842,992,1000
594,846,863,941,1000,1000,1000,1000,1000,252,703,537,418,323,580,325,997
595,595,599,942,1000,999,999,1000,1000,423,697,443,991,403,666,410,976
596,553,580,775,999,998,998,1000,1000,440,551,741,750,525,581,664,940
597,371,611,398,1000,998,998,1000,1000,514,608,822,848,875,888,952,1000
598,76,869,76,979,999,999,1000,1000,431,610,836,700,714,892,722,969
599,569,569,963,999,999,999,1000,1000,528,649,614,993,676,677,928,998
600,757,759,971,1000,1000,1000,1000,1000,428,612,772,677,563,637,654,1000
