Sample,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA,D_all,D_Rel,D_RF,D_WCC,O_all,O_Rel,O_RF,O_WCC,R_all,R_Rel,R_RF,R_WCC,C_all,C_Rel,C_RF,C_WCC,Name
673,0.115384615,1,0.269230769,0.115384615,0.025641026,1.025641026,0.051282051,0.075613,0.044775,0.014853,0.057701,2,2,2,2,0.069883,0.101606,0.032369,0.380288,669,669,979,1000,978,978,1000,1000,164,543,825,235,754,758,954,1000,perturbed
674,0.141025641,1,0.269230769,0.102564103,0.038461538,1.012820513,0.076923077,0.0307,0.008149,0.048037,0.05285,5,2,2,1,0.118532,0.093441,0.027792,0.380007,462,495,990,805,977,977,1000,1000,450,498,792,839,761,766,952,1000,perturbed
675,0.115384615,1,0.282051282,0.102564103,0.012820513,1.038461538,0.012820513,0.025812,0.042069,0.060359,0.026555,1,2,4,2,0.140595,0.114339,0.054495,0.369781,401,830,989,505,974,974,1000,1000,338,564,898,564,729,739,894,1000,perturbed
676,0.076923077,1,0.294871795,0.115384615,0.051282051,0.961538462,0.025641026,0.015265,0.030479,0.06156,0.053405,2,4,1,2,0.071735,0.076274,0.084086,0.428125,476,582,704,841,974,974,1000,1000,431,483,893,811,933,933,994,1000,perturbed
677,0.102564103,1,0.256410256,0.102564103,0.012820513,1.012820513,0.038461538,0.016742,0.052075,0.083602,0.053922,3,3,3,1,0.107309,0.120659,0.057524,0.411214,65,827,976,92,978,978,1000,1000,538,579,826,919,892,897,983,1000,perturbed
678,0.08974359,1,0.282051282,0.141025641,0.038461538,1.025641026,0.064102564,0.058112,0.066277,0.028663,0.013079,1,2,1,2,0.133085,0.128308,0.08359,0.374222,605,625,835,1000,977,977,1000,1000,363,538,825,564,694,695,964,994,perturbed
679,0.08974359,1,0.230769231,0.076923077,0.038461538,0.987179487,0.076923077,0.025485,0.055321,0.026445,0.026203,4,2,3,1,0.121346,0.134431,0.020203,0.383243,406,628,839,596,979,979,1000,1000,234,554,711,379,780,828,850,1000,perturbed
680,0.115384615,1,0.243589744,0.064102564,0.064102564,0.974358974,0.038461538,0.029486,0.042664,0.051404,0.023282,1,5,4,3,0.111047,0.091772,0.091238,0.370126,444,454,882,976,973,973,1000,1000,382,562,806,629,568,788,580,981,perturbed
681,0.08974359,1,0.256410256,0.064102564,0.051282051,1,0.012820513,0.006824,0.000352,0.049736,0.019938,4,5,2,3,0.07898,0.086385,0.04703,0.356659,61,575,777,68,978,978,1000,1000,343,547,853,569,479,719,486,985,perturbed
682,0.128205128,1,0.243589744,0.064102564,0.064102564,1,0.064102564,0.046667,0.040956,0.055459,0.016121,2,3,2,2,0.099612,0.064015,0.061124,0.403947,434,436,906,998,977,977,1000,1000,459,488,752,904,767,912,775,998,perturbed
